year,educ,age,exp,exp_sq,non_white,y,lny
2002,11,23,5,25,0,0.3736854,-0.984341012
2004,11,19,1,1,0,0.3737443,-0.984183405
2002,12,22,3,9,1,0.3737787,-0.984091368
2005,8,34,19,361,0,0.3756121,-0.979198317
1998,12,22,3,9,0,0.3759518,-0.978294335
1998,12,18,-1,1,0,0.376402,-0.977097558
2004,7,42,28,784,1,0.3764917,-0.976859277
2000,6,42,29,841,0,0.3765053,-0.976823155
2003,3,27,17,289,1,0.3778497,-0.973258781
2004,9,44,28,784,0,0.3784743,-0.971607108
2004,9,19,3,9,1,0.3795418,-0.968790543
1997,8,36,21,441,0,0.3808312,-0.965399047
1996,10,20,3,9,0,0.3815796,-0.9634358
1996,12,23,4,16,0,0.3820948,-0.962086534
1996,7,21,7,49,0,0.3829408,-0.959874871
1997,13,20,0,0,0,0.3854944,-0.953228613
2003,14,32,11,121,1,0.3855361,-0.953120446
2000,15,23,1,1,0,0.3859887,-0.951947185
2002,6,42,29,841,0,0.3888338,-0.944603276
2003,6,41,28,784,0,0.3902093,-0.941072017
1997,4,48,37,1369,0,0.3915318,-0.937688541
2000,14,29,8,64,0,0.3959274,-0.926524418
2003,12,40,21,441,1,0.3961549,-0.925949983
2004,5,22,10,100,0,0.3976449,-0.922195883
1999,8,31,16,256,0,0.3987376,-0.919451723
2002,13,22,2,4,0,0.3988288,-0.919223027
1999,11,20,2,4,0,0.4001406,-0.915939294
2002,17,22,-2,4,0,0.4002365,-0.915699657
2003,9,19,3,9,1,0.4013738,-0.912862116
1996,11,21,3,9,0,0.4017498,-0.911925772
2003,16,22,-1,1,1,0.4019849,-0.911340753
1998,14,20,-1,1,0,0.4078658,-0.89681708
1996,12,38,19,361,1,0.4089458,-0.89417265
2004,5,44,32,1024,0,0.4103435,-0.890760665
2004,15,47,25,625,0,0.4142412,-0.881306866
2005,10,25,8,64,0,0.4143931,-0.880940239
2002,10,22,5,25,0,0.4195788,-0.868503928
1999,11,19,1,1,0,0.4203321,-0.866710166
2005,1,40,32,1024,0,0.4227144,-0.861058505
1998,14,19,-2,4,0,0.4232983,-0.859678148
2004,14,30,9,81,0,0.4263601,-0.852470985
1999,8,19,4,16,0,0.4272424,-0.850403745
1997,12,30,11,121,0,0.4282297,-0.848095545
