"year","educ","age","exp","income","non_white","exp_sq"
2000,16,49,26,21.64732,0,676
2005,9,25,9,.990167,1,81
1996,14,33,12,14.09454,0,144
1997,11,34,16,16.05113,0,256
1999,12,37,18,19.84461,0,324
2000,13,37,17,14.97076,0,289
1996,12,42,23,6.590462,1,529
1998,14,43,22,2.587273,1,484
1999,12,44,25,3.174494,1,625
2000,14,45,24,7.286234,1,576
2002,14,47,26,9.215233,1,676
2003,15,48,26,10.63321,1,676
2004,12,49,30,13.77937,1,900
2005,14,50,29,15.44166,1,841
1996,15,40,18,16.39645,0,324
1997,17,41,17,16.25129,0,289
1998,12,42,23,16.07147,0,529
1999,18,43,18,18.07748,0,324
2000,14,44,23,28.82301,0,529
2002,11,46,28,18.79144,0,784
2003,18,47,22,35.71426,0,484
2004,13,48,28,35.87841,0,784
2004,15,44,22,12.49922,0,484
2005,14,45,24,19.86957,0,576
1996,12,38,19,7.075576,0,361
1998,16,40,17,7.734157,0,289
1999,15,41,19,10.55375,0,361
2000,14,42,21,8.709847,0,441
2002,13,44,24,11.54725,0,576
2003,14,45,24,10.97989,0,576
2004,10,46,29,11.91555,0,841
1996,8,20,5,7.039793,0,25
1997,10,21,4,2.78622,0,16
1998,6,22,9,1.770045,0,81
2000,9,24,8,7.451742,0,64
2002,8,26,11,8.818752,0,121
2003,13,27,7,13.85262,0,49
2004,11,28,10,13.52864,0,100
2005,15,29,7,18.73237,0,49
2000,10,18,1,5.55546,0,1
1996,11,38,20,11.27764,1,400
1997,13,39,19,4.843123,1,361
1998,15,40,18,12.23692,1,324
1999,11,41,23,7.992334,1,529
2000,10,42,25,10.60819,1,625
2002,16,44,21,15.93507,1,441
2003,10,45,28,17.38476,1,784
2004,11,46,28,19.33218,1,784
2005,14,47,26,17.39923,1,676
1998,3,25,15,3.090682,0,225
1996,12,40,21,11.43276,0,441
1997,14,41,20,13.55284,0,400
1998,11,42,24,11.33285,0,576
1999,13,43,23,13.28236,0,529
2000,8,44,29,18.19899,0,841
2002,10,46,29,14.25417,0,841
2003,10,47,30,13.92291,0,900
1996,8,38,23,5.541708,0,529
1997,8,39,24,48.8591,0,576
1998,9,40,24,53.73157,0,576
1999,11,41,23,8.929956,0,529
2002,11,44,26,11.20712,0,676
2003,8,45,30,12.59496,0,900
1999,11,19,1,.3181311,0,1
2000,16,20,-3,7.033925,0,9
2002,11,22,4,10.76108,0,16
2003,14,23,2,6.586787,0,4
1997,12,27,8,.8676133,0,64
1998,11,28,10,3.333088,0,100
1999,8,29,14,3.239644,0,196
2000,12,30,11,4.22548,0,121
2002,13,32,12,5.275225,0,144
2003,8,33,18,5.574612,0,324
2004,7,34,20,5.682764,0,400
1996,14,50,29,7.208353,0,841
1996,9,49,33,5.823137,0,1089
2002,14,25,4,,0,16
2003,13,26,6,16.49177,0,36
2004,14,27,6,14.34065,0,36
2005,14,28,7,19.63055,0,49
1998,14,18,-3,5.428681,0,9
1999,10,19,2,4.94419,0,4
2000,12,20,1,8.425939,0,1
2003,10,23,6,7.138075,0,36
2004,12,25,6,8.460309,0,36
2005,14,26,5,9.654428,0,25
2000,7,19,5,5.084777,0,25
1996,16,29,6,7.585206,0,36
1997,13,30,10,5.062054,0,100
1998,13,31,11,6.061302,0,121
1999,15,32,10,15.13739,0,100
2002,18,35,10,22.03107,0,100
2003,15,36,14,0,0,196
2004,18,37,12,26.54867,0,144
2005,14,38,17,29.56083,0,289
1997,11,38,20,17.5547,0,400
1998,13,39,19,13.64418,0,361
1999,17,40,16,15.33496,0,256
2000,12,41,22,13.82267,0,484
2003,15,44,22,,0,484
2004,11,45,27,,0,729
2005,17,46,22,,0,484
1996,16,34,11,40.88892,0,121
